model,clone_direction,prompt_language_id,target_language_id,count,total,ok,failed,success_rate,accuracy_percent,calibrated_cer_mean,speaker_similarity_mean
Higgs Audio v3,en_to_lo,en,lo,255,255,255,0,1.0,55.09371174981139,0.44906288250188603,0.4917440740793359
Higgs Audio v3,en_to_th,en,th,255,255,255,0,1.0,96.90198596966772,0.03098014030332287,0.2625623987805025
Higgs Audio v3,zh_to_lo,zh,lo,255,255,255,0,1.0,61.72489426611706,0.3827510573388294,0.6511019052170656
Higgs Audio v3,zh_to_th,zh,th,255,255,255,0,1.0,99.10929113297648,0.00890708867023515,0.6742248730332243
OmniVoice,en_to_lo,en,lo,255,255,255,0,1.0,54.677365449667526,0.4532263455033248,0.5371386260378594
OmniVoice,en_to_th,en,th,255,255,255,0,1.0,96.9262523441478,0.030737476558522037,0.5859686970126395
OmniVoice,zh_to_lo,zh,lo,255,255,255,0,1.0,56.936056018190904,0.43063943981809094,0.7113692961487116
OmniVoice,zh_to_th,zh,th,255,255,255,0,1.0,95.02557104263761,0.04974428957362394,0.7454797265576382
SE-Bridge-TTS,en_to_lo,en,lo,255,255,255,0,1.0,65.92360795427898,0.3407639204572102,0.4585292552031723
SE-Bridge-TTS,en_to_th,en,th,255,255,255,0,1.0,97.31717476596691,0.02682825234033093,0.45198065732039655
SE-Bridge-TTS,zh_to_lo,zh,lo,255,255,255,0,1.0,73.9683208933422,0.26031679106657796,0.7259227527122871
SE-Bridge-TTS,zh_to_th,zh,th,255,255,255,0,1.0,96.43545582797418,0.03564544172025822,0.7361930919628518
X-Voice Stage1,en_to_th,en,th,255,255,255,0,1.0,17.725915416291972,0.8227408458370803,-0.019307536617213603
X-Voice Stage1,zh_to_th,zh,th,255,255,255,0,1.0,89.65265286084022,0.10347347139159783,0.7411620937141717
X-Voice Stage1,en_to_lo,en,lo,0,255,0,255,0.0,,,
X-Voice Stage1,zh_to_lo,zh,lo,0,255,0,255,0.0,,,
